Plate.Number,Well.Coordinate,Forward.UMI.Label,Reverse.UMI.Label
1,A1,PB1F_bc1001,PB1R_bc1097_rc
1,C1,PB1F_bc1002,PB1R_bc1097_rc
1,E1,PB1F_bc1003,PB1R_bc1097_rc
1,G1,PB1F_bc1004,PB1R_bc1097_rc
1,I1,PB1F_bc1005,PB1R_bc1097_rc
1,K1,PB1F_bc1006,PB1R_bc1097_rc
1,M1,PB1F_bc1007,PB1R_bc1097_rc
1,O1,PB1F_bc1008,PB1R_bc1097_rc
1,A3,PB1F_bc1009,PB1R_bc1097_rc
1,C3,PB1F_bc1010,PB1R_bc1097_rc
1,E3,PB1F_bc1011,PB1R_bc1097_rc
1,G3,PB1F_bc1012,PB1R_bc1097_rc
1,I3,PB1F_bc1013,PB1R_bc1097_rc
1,K3,PB1F_bc1014,PB1R_bc1097_rc
1,M3,PB1F_bc1015,PB1R_bc1097_rc
1,O3,PB1F_bc1016,PB1R_bc1097_rc
1,A5,PB1F_bc1017,PB1R_bc1097_rc
1,C5,PB1F_bc1018,PB1R_bc1097_rc
1,E5,PB1F_bc1019,PB1R_bc1097_rc
1,G5,PB1F_bc1020,PB1R_bc1097_rc
1,I5,PB1F_bc1021,PB1R_bc1097_rc
1,K5,PB1F_bc1022,PB1R_bc1097_rc
1,M5,PB1F_bc1023,PB1R_bc1097_rc
1,O5,PB1F_bc1024,PB1R_bc1097_rc
1,A7,PB1F_bc1025,PB1R_bc1097_rc
1,C7,PB1F_bc1026,PB1R_bc1097_rc
1,E7,PB1F_bc1027,PB1R_bc1097_rc
1,G7,PB1F_bc1028,PB1R_bc1097_rc
1,I7,PB1F_bc1029,PB1R_bc1097_rc
1,K7,PB1F_bc1030,PB1R_bc1097_rc
1,M7,PB1F_bc1031,PB1R_bc1097_rc
1,O7,PB1F_bc1032,PB1R_bc1097_rc
1,A9,PB1F_bc1033,PB1R_bc1097_rc
1,C9,PB1F_bc1034,PB1R_bc1097_rc
1,E9,PB1F_bc1035,PB1R_bc1097_rc
1,G9,PB1F_bc1036,PB1R_bc1097_rc
1,I9,PB1F_bc1037,PB1R_bc1097_rc
1,K9,PB1F_bc1038,PB1R_bc1097_rc
1,M9,PB1F_bc1039,PB1R_bc1097_rc
1,O9,PB1F_bc1040,PB1R_bc1097_rc
1,A11,PB1F_bc1041,PB1R_bc1097_rc
1,C11,PB1F_bc1042,PB1R_bc1097_rc
1,E11,PB1F_bc1043,PB1R_bc1097_rc
1,G11,PB1F_bc1044,PB1R_bc1097_rc
1,I11,PB1F_bc1045,PB1R_bc1097_rc
1,K11,PB1F_bc1046,PB1R_bc1097_rc
1,M11,PB1F_bc1047,PB1R_bc1097_rc
1,O11,PB1F_bc1048,PB1R_bc1097_rc
1,A13,PB1F_bc1049,PB1R_bc1097_rc
1,C13,PB1F_bc1050,PB1R_bc1097_rc
1,E13,PB1F_bc1051,PB1R_bc1097_rc
1,G13,PB1F_bc1052,PB1R_bc1097_rc
1,I13,PB1F_bc1053,PB1R_bc1097_rc
1,K13,PB1F_bc1054,PB1R_bc1097_rc
1,M13,PB1F_bc1055,PB1R_bc1097_rc
1,O13,PB1F_bc1056,PB1R_bc1097_rc
1,A15,PB1F_bc1057,PB1R_bc1097_rc
1,C15,PB1F_bc1058,PB1R_bc1097_rc
1,E15,PB1F_bc1059,PB1R_bc1097_rc
1,G15,PB1F_bc1060,PB1R_bc1097_rc
1,I15,PB1F_bc1061,PB1R_bc1097_rc
1,K15,PB1F_bc1062,PB1R_bc1097_rc
1,M15,PB1F_bc1063,PB1R_bc1097_rc
1,O15,PB1F_bc1064,PB1R_bc1097_rc
1,A17,PB1F_bc1065,PB1R_bc1097_rc
1,C17,PB1F_bc1066,PB1R_bc1097_rc
1,E17,PB1F_bc1067,PB1R_bc1097_rc
1,G17,PB1F_bc1068,PB1R_bc1097_rc
1,I17,PB1F_bc1069,PB1R_bc1097_rc
1,K17,PB1F_bc1195,PB1R_bc1097_rc
1,M17,PB1F_bc1071,PB1R_bc1097_rc
1,O17,PB1F_bc1072,PB1R_bc1097_rc
1,A19,PB1F_bc1073,PB1R_bc1097_rc
1,C19,PB1F_bc1074,PB1R_bc1097_rc
1,E19,PB1F_bc1075,PB1R_bc1097_rc
1,G19,PB1F_bc1076,PB1R_bc1097_rc
1,I19,PB1F_bc1077,PB1R_bc1097_rc
1,K19,PB1F_bc1078,PB1R_bc1097_rc
1,M19,PB1F_bc1079,PB1R_bc1097_rc
1,O19,PB1F_bc1080,PB1R_bc1097_rc
1,A21,PB1F_bc1081,PB1R_bc1097_rc
1,C21,PB1F_bc1082,PB1R_bc1097_rc
1,E21,PB1F_bc1083,PB1R_bc1097_rc
1,G21,PB1F_bc1084,PB1R_bc1097_rc
1,I21,PB1F_bc1085,PB1R_bc1097_rc
1,K21,PB1F_bc1086,PB1R_bc1097_rc
1,M21,PB1F_bc1087,PB1R_bc1097_rc
1,O21,PB1F_bc1088,PB1R_bc1097_rc
1,A23,PB1F_bc1089,PB1R_bc1097_rc
1,C23,PB1F_bc1090,PB1R_bc1097_rc
1,E23,PB1F_bc1091,PB1R_bc1097_rc
1,G23,PB1F_bc1092,PB1R_bc1097_rc
1,I23,PB1F_bc1093,PB1R_bc1097_rc
1,K23,PB1F_bc1094,PB1R_bc1097_rc
1,M23,PB1F_bc1095,PB1R_bc1097_rc
1,O23,PB1F_bc1096,PB1R_bc1097_rc
1,B1,PB1F_bc1001,PB1R_bc1098_rc
1,D1,PB1F_bc1002,PB1R_bc1098_rc
1,F1,PB1F_bc1003,PB1R_bc1098_rc
1,H1,PB1F_bc1004,PB1R_bc1098_rc
1,J1,PB1F_bc1005,PB1R_bc1098_rc
1,L1,PB1F_bc1006,PB1R_bc1098_rc
1,N1,PB1F_bc1007,PB1R_bc1098_rc
1,P1,PB1F_bc1008,PB1R_bc1098_rc
1,B3,PB1F_bc1009,PB1R_bc1098_rc
1,D3,PB1F_bc1010,PB1R_bc1098_rc
1,F3,PB1F_bc1011,PB1R_bc1098_rc
1,H3,PB1F_bc1012,PB1R_bc1098_rc
1,J3,PB1F_bc1013,PB1R_bc1098_rc
1,L3,PB1F_bc1014,PB1R_bc1098_rc
1,N3,PB1F_bc1015,PB1R_bc1098_rc
1,P3,PB1F_bc1016,PB1R_bc1098_rc
1,B5,PB1F_bc1017,PB1R_bc1098_rc
1,D5,PB1F_bc1018,PB1R_bc1098_rc
1,F5,PB1F_bc1019,PB1R_bc1098_rc
1,H5,PB1F_bc1020,PB1R_bc1098_rc
1,J5,PB1F_bc1021,PB1R_bc1098_rc
1,L5,PB1F_bc1022,PB1R_bc1098_rc
1,N5,PB1F_bc1023,PB1R_bc1098_rc
1,P5,PB1F_bc1024,PB1R_bc1098_rc
1,B7,PB1F_bc1025,PB1R_bc1098_rc
1,D7,PB1F_bc1026,PB1R_bc1098_rc
1,F7,PB1F_bc1027,PB1R_bc1098_rc
1,H7,PB1F_bc1028,PB1R_bc1098_rc
1,J7,PB1F_bc1029,PB1R_bc1098_rc
1,L7,PB1F_bc1030,PB1R_bc1098_rc
1,N7,PB1F_bc1031,PB1R_bc1098_rc
1,P7,PB1F_bc1032,PB1R_bc1098_rc
1,B9,PB1F_bc1033,PB1R_bc1098_rc
1,D9,PB1F_bc1034,PB1R_bc1098_rc
1,F9,PB1F_bc1035,PB1R_bc1098_rc
1,H9,PB1F_bc1036,PB1R_bc1098_rc
1,J9,PB1F_bc1037,PB1R_bc1098_rc
1,L9,PB1F_bc1038,PB1R_bc1098_rc
1,N9,PB1F_bc1039,PB1R_bc1098_rc
1,P9,PB1F_bc1040,PB1R_bc1098_rc
1,B11,PB1F_bc1041,PB1R_bc1098_rc
1,D11,PB1F_bc1042,PB1R_bc1098_rc
1,F11,PB1F_bc1043,PB1R_bc1098_rc
1,H11,PB1F_bc1044,PB1R_bc1098_rc
1,J11,PB1F_bc1045,PB1R_bc1098_rc
1,L11,PB1F_bc1046,PB1R_bc1098_rc
1,N11,PB1F_bc1047,PB1R_bc1098_rc
1,P11,PB1F_bc1048,PB1R_bc1098_rc
1,B13,PB1F_bc1049,PB1R_bc1098_rc
1,D13,PB1F_bc1050,PB1R_bc1098_rc
1,F13,PB1F_bc1051,PB1R_bc1098_rc
1,H13,PB1F_bc1052,PB1R_bc1098_rc
1,J13,PB1F_bc1053,PB1R_bc1098_rc
1,L13,PB1F_bc1054,PB1R_bc1098_rc
1,N13,PB1F_bc1055,PB1R_bc1098_rc
1,P13,PB1F_bc1056,PB1R_bc1098_rc
1,B15,PB1F_bc1057,PB1R_bc1098_rc
1,D15,PB1F_bc1058,PB1R_bc1098_rc
