"Plate","Original number of samples","No. samples post-QC","No. confident samples","Percentage of confident samples"
"PBRI_010",30,30,30,100
"NENM_036",93,92,92,98.9247311827957
"NENM_038",93,92,92,98.9247311827957
"YARN_026",93,92,92,98.9247311827957
"NENM_035",93,91,91,97.8494623655914
"YARN_024",93,91,91,97.8494623655914
"YARN_028",93,91,91,97.8494623655914
"FACE_238",93,90,90,96.7741935483871
"PBRI_002",93,91,90,96.7741935483871
"PBRI_008",93,92,90,96.7741935483871
"SHAP_026",93,92,90,96.7741935483871
"YARN_027",93,92,90,96.7741935483871
"FACE_239",93,91,89,95.6989247311828
"SHAP_025",93,91,89,95.6989247311828
"SNST_004",93,93,89,95.6989247311828
"YARN_025",93,89,89,95.6989247311828
"YARN_029",92,89,88,95.6521739130435
"SNST_001",89,87,85,95.5056179775281
"SNST_003",94,92,89,94.6808510638298
"FACE_229",93,89,88,94.6236559139785
"PBRI_007",93,89,88,94.6236559139785
"SNST_002",92,89,87,94.5652173913043
"SNST_005",92,88,87,94.5652173913043
"CAMP_013",94,94,88,93.6170212765958
"FACE_240",93,88,87,93.5483870967742
"FACE_241",93,90,87,93.5483870967742
"NENM_029",93,87,87,93.5483870967742
"NENM_031",93,87,87,93.5483870967742
"NENM_033",93,87,87,93.5483870967742
"NENM_037",93,88,87,93.5483870967742
"SNST_006",93,92,87,93.5483870967742
"CAMP_048",93,90,86,92.4731182795699
"FACE_237",93,90,86,92.4731182795699
"NENM_028",93,86,86,92.4731182795699
"NENM_030",93,86,86,92.4731182795699
"NENM_032",93,86,86,92.4731182795699
"WWTS_009",93,89,86,92.4731182795699
"CAMP_038",93,88,85,91.3978494623656
"FACE_228",93,87,85,91.3978494623656
"FACE_235",93,85,85,91.3978494623656
"PBRI_006",93,86,85,91.3978494623656
"CAMP_047",93,91,84,90.3225806451613
"FACE_219",93,88,84,90.3225806451613
"NENM_027",93,84,84,90.3225806451613
"WWTS_004",93,90,84,90.3225806451613
"CAMP_014",94,87,84,89.3617021276596
"CAMP_017",94,92,84,89.3617021276596
"CAMP_042",93,83,83,89.247311827957
"SNST_007",34,30,30,88.2352941176471
"FACE_231",93,88,82,88.1720430107527
"FACE_234",93,85,82,88.1720430107527
"NENM_039",93,82,82,88.1720430107527
"WWTS_005",93,91,82,88.1720430107527
"CAMP_026",74,66,65,87.8378378378378
"CAMP_045",32,29,28,87.5
"FACE_233",93,86,81,87.0967741935484
"FACE_236",93,88,81,87.0967741935484
"CAMP_027",74,65,64,86.4864864864865
"FACE_222",93,88,80,86.0215053763441
"PBRI_001",93,85,80,86.0215053763441
"PBRI_004",93,82,80,86.0215053763441
"CAMP_015",94,91,80,85.1063829787234
"FACE_225",93,83,79,84.9462365591398
"NENM_034",93,83,79,84.9462365591398
"WWTS_008",93,84,79,84.9462365591398
"PBRI_005",93,83,78,83.8709677419355
"FACE_220",91,80,76,83.5164835164835
"CAMP_018",94,89,78,82.9787234042553
"CAMP_019",47,46,39,82.9787234042553
"CAMP_044",93,83,77,82.7956989247312
"FACE_221",93,83,77,82.7956989247312
"YARN_032",93,78,77,82.7956989247312
"CAMP_041",93,84,76,81.7204301075269
"WWTS_006",93,87,76,81.7204301075269
"WWTS_010",83,74,67,80.7228915662651
"FACE_209",93,84,75,80.6451612903226
"FACE_232",93,82,75,80.6451612903226
"PBRI_009",93,91,75,80.6451612903226
"WWTS_001",93,90,75,80.6451612903226
"WWTS_007",93,83,75,80.6451612903226
"YARN_030",93,81,74,79.5698924731183
"WWTS_003",93,89,73,78.494623655914
"CAMP_040",93,77,72,77.4193548387097
"FACE_223",93,83,72,77.4193548387097
"YARN_031",93,74,72,77.4193548387097
"CAMP_016",94,87,72,76.5957446808511
"CAMP_043",93,74,71,76.3440860215054
"CAMP_039",93,81,70,75.2688172043011
"FACE_230",93,70,69,74.1935483870968
"CAMP_046",93,72,68,73.1182795698925
"FACE_224",93,80,68,73.1182795698925
"PBRI_003",93,76,68,73.1182795698925
"FACE_226",93,66,62,66.6666666666667
"WWTS_002",93,82,58,62.3655913978495
"FACE_227",93,55,51,54.8387096774194
"NENM_040",64,20,20,31.25
