"Plate","Original number of samples","No. samples post-QC","No. confident samples","Percentage of confident samples"
"22",371,364,361,97.3045822102426
"10",372,354,353,94.8924731182796
"8",372,359,353,94.8924731182796
"16",312,303,293,93.9102564102564
"24",372,364,349,93.8172043010753
"19",372,343,343,92.2043010752688
"21",362,343,333,91.9889502762431
"9",311,290,285,91.6398713826367
"15",368,355,337,91.5760869565217
"7",372,348,334,89.7849462365591
"12",372,340,331,88.9784946236559
"20",372,340,327,87.9032258064516
"13",309,303,270,87.378640776699
"17",376,359,324,86.1702127659574
"18",309,292,265,85.7605177993528
"3",370,335,312,84.3243243243243
"2",353,306,296,83.8526912181303
"6",372,326,307,82.5268817204301
"1",372,330,303,81.4516129032258
"4",372,334,299,80.3763440860215
"14",372,352,297,79.8387096774194
"23",372,305,291,78.2258064516129
"5",372,297,286,76.8817204301075
"11",343,272,258,75.2186588921283
